IdCleaned,DateCleaned,CombinedKey,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Weightkg,WeightKg_Cleaned,WeightPounds,WeightPounds_Cleaned,TotalSleepRecords,TotalSleep_Cleaned,TotalMinutesAsleep,TotalMinutesAsleep_Cleaned,TotalHoursAsleep,TotalTimeInBed,TotalTimeInBed,Calories
1503960366,04-12-2016,1503960366_04/12/2016,13162,8.5,8.5,0,1.879999995,0.5500000119,6.059999943,0,25,13,328,728,1985,,0,,0,1,1,327,327,5.45,346,346,1985
1503960366,04-13-2016,1503960366_04/13/2016,10735,6.96999979,6.96999979,0,1.570000052,0.6899999976,4.710000038,0,21,19,217,776,1797,,0,,0,2,2,384,384,6.4,407,407,1797
1503960366,04-14-2016,1503960366_04/14/2016,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776,,0,,0,,0,,0,0,,0,1776
1503960366,04-15-2016,1503960366_04/15/2016,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,,0,,0,1,1,412,412,6.866666667,442,442,1745
1503960366,04-16-2016,1503960366_04/16/2016,12669,8.159999847,8.159999847,0,2.710000038,0.4099999964,5.039999962,0,36,10,221,773,1863,,0,,0,2,2,340,340,5.666666667,367,367,1863
1503960366,04-17-2016,1503960366_04/17/2016,9705,6.480000019,6.480000019,0,3.190000057,0.7799999714,2.50999999,0,38,20,164,539,1728,,0,,0,1,1,700,700,11.66666667,712,712,1728
1503960366,04-18-2016,1503960366_04/18/2016,13019,8.590000153,8.590000153,0,3.25,0.6399999857,4.710000038,0,42,16,233,1149,1921,,0,,0,,0,,0,0,,0,1921
1503960366,04-19-2016,1503960366_04/19/2016,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,,0,,0,1,1,304,304,5.066666667,320,320,2035
1503960366,04-20-2016,1503960366_04/20/2016,10544,6.679999828,6.679999828,0,1.960000038,0.4799999893,4.239999771,0,28,12,205,818,1786,,0,,0,1,1,360,360,6,377,377,1786
1503960366,04-21-2016,1503960366_04/21/2016,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,,0,,0,1,1,325,325,5.416666667,364,364,1775
1503960366,04-22-2016,1503960366_04/22/2016,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,,0,,0,,0,,0,0,,0,1827
1503960366,04-23-2016,1503960366_04/23/2016,14371,9.039999962,9.039999962,0,2.809999943,0.8700000048,5.360000134,0,41,21,262,732,1949,,0,,0,1,1,361,361,6.016666667,384,384,1949
1503960366,04-24-2016,1503960366_04/24/2016,10039,6.409999847,6.409999847,0,2.920000076,0.2099999934,3.279999971,0,39,5,238,709,1788,,0,,0,1,1,430,430,7.166666667,449,449,1788
1503960366,04-25-2016,1503960366_04/25/2016,15355,9.800000191,9.800000191,0,5.289999962,0.5699999928,3.940000057,0,73,14,216,814,2013,,0,,0,1,1,277,277,4.616666667,323,323,2013
1503960366,04-26-2016,1503960366_04/26/2016,13755,8.789999962,8.789999962,0,2.329999924,0.9200000167,5.539999962,0,31,23,279,833,1970,,0,,0,1,1,245,245,4.083333333,274,274,1970
1503960366,04-27-2016,1503960366_04/27/2016,18134,12.21000004,12.21000004,0,6.400000095,0.4099999964,5.409999847,0,78,11,243,1108,2159,,0,,0,,0,,0,0,,0,2159
1503960366,04-28-2016,1503960366_04/28/2016,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,,0,,0,1,1,366,366,6.1,393,393,1898
1503960366,04-29-2016,1503960366_04/29/2016,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,,0,,0,1,1,341,341,5.683333333,354,354,1837
1503960366,04-30-2016,1503960366_04/30/2016,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947,,0,,0,1,1,404,404,6.733333333,425,425,1947
1503960366,05-01-2016,1503960366_05/01/2016,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,,0,,0,1,1,369,369,6.15,396,396,1820
1503960366,05-02-2016,1503960366_05/02/2016,14727,9.710000038,9.710000038,0,3.210000038,0.5699999928,5.920000076,0,41,15,277,798,2004,52.59999847,52.59999847,115.9631465,115.9631465,1,1,277,277,4.616666667,309,309,2004
1503960366,05-03-2016,1503960366_05/03/2016,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,52.59999847,52.59999847,115.9631465,115.9631465,1,1,273,273,4.55,296,296,1990
1503960366,05-04-2016,1503960366_05/04/2016,11100,7.150000095,7.150000095,0,2.460000038,0.8700000048,3.819999933,0,36,22,203,1179,1819,,0,,0,,0,,0,0,,0,1819
1503960366,05-05-2016,1503960366_05/05/2016,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,1959,,0,,0,1,1,247,247,4.116666667,264,264,1959
1503960366,05-06-2016,1503960366_05/06/2016,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,,0,,0,1,1,334,334,5.566666667,367,367,1896
1503960366,05-07-2016,1503960366_05/07/2016,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821,,0,,0,1,1,331,331,5.516666667,349,349,1821
